Tp,Hs,Uw,Op
6.53,1.21,8.98333333333333,1
6.46,1.23,6.95,1
6.73,1.14,6.445,1
6.66,1.15,6.30333333333333,1
6.61,1.17,5.33666666666667,1
6.19,1.07,4.32166666666667,1
5.88,1.1,4.95166666666667,1
6.16,1.21,6.995,1
5.86,1.2,6.96666666666667,1
5.52,1.29,9.15333333333333,1
5.38,1.29,8.09166666666667,1
5.48,1.31,7.645,1
6.05,1.22,8.135,1
6.42,1.2,7.06833333333333,1
6.65,1.25,7.205,1
6.77,1.21,7.09833333333333,1
6.51,1.24,7.29833333333333,1
6.87,1.21,7.45166666666667,1
6.01,1.24,8.17833333333333,1
6.07,1.36,7.24333333333333,1
5.93,1.28,7.40833333333333,1
5.79,1.27,7.66833333333333,1
5.76,1.27,7.99833333333333,1
6.07,1.36,7.73666666666667,1
6.2,1.29,8.21166666666667,1
6.48,1.23,7.07333333333333,1
6.34,1.27,5.48833333333333,1
6.35,1.14,2.76666666666667,2
6.28,1.01,4.28166666666667,1
6.33,0.95,4.89333333333333,1
5.84,0.97,3.53666666666667,1
5.73,0.94,4.82166666666667,1
5.43,0.91,6.04833333333333,1
5.13,0.9,6.01,1
5.01,0.9,5.58,1
4.95,0.92,5.24833333333333,1
6.76,0.97,4.715,1
6.95,0.92,4.18666666666667,1
6.43,0.86,4.51166666666667,1
6.91,0.84,4.21666666666667,1
7.06,0.75,3.98333333333333,1
7.1,0.74,3.945,1
6.48,0.68,3.76,1
8.77,0.73,4.78666666666667,1
8.82,0.8,5.23833333333333,1
4.35,0.89,5.32666666666667,1
8.92,0.92,5.51166666666667,1
4.53,0.92,6.21,1
8.5,0.91,6.67833333333333,1
8.47,0.9,6.96166666666667,1
8.62,0.91,7.68333333333333,1
8.78,0.86,7.52,1
3.36,0.91,7.19333333333333,1
9.01,0.92,7.48333333333333,1
3.66,0.84,7.06666666666667,1
3.46,0.81,6.73,1
4.37,0.83,6.77666666666667,1
3.85,0.89,7.485,1
4.64,0.89,7.28166666666667,1
4.59,0.97,7.35833333333333,1
4.91,1.01,8.32166666666667,1
5.16,0.99,8.32333333333333,1
5.78,1.04,7.80833333333333,1
5.82,1.17,7.70166666666667,1
6.27,1.15,6.97,1
6.03,1.11,7.235,1
